
humanID,opponent,turn,condition,cooperation,Random ID,duration,code,MCA,mental_demand,physical_demand,pace,success,MCB,effort,negative_feelings,AI_optimism,AI_experience,tech_relationship,MCC,human_preference,shared_understanding,cooperative_intention,cooperative_perception,cooperative_mutual,MCD,effectiveness,improvement,satisfaction_self,satisfaction_team,rework,leadership,trust,aggression_self,aggression_team,communication,feedback,age,race,gender,MCE,education
pndzuadn,dqn,1,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,2,ai,3,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,3,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,4,ai,3,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,5,ai,3,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,6,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,7,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,8,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,9,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,0,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,1,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,2,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,3,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,4,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,5,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,6,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,7,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,8,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,9,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,0,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
pndzuadn,dqn,1,ai,4,4646,76,pndzuadn,2,-1,-2,-2,0,-2,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,0,Being able to chat,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
